[0x2D8] [0x00F71663] | bne a4,a5,2e4 <function+0x1b4> | x0 = 1 , 

[0x2E4] [0xFEC42703] | lw a4,-20(s0) | x14 = 22 , 

[0x2E8] [0x01600793] | li a5,22 | x15 = 22 , 

[0x2EC] [0x00F71663] | bne a4,a5,2f8 <function+0x1c8> | x0 = 0 , 

[0x2F0] [0x05600793] | li a5,86 | x15 = 86 , 

[0x2F4] [0x0580006F] | j 34c <function+0x21c> | x0 = 760 , 

[0x34C] [0x00078513] | mv a0,a5 | x10 = 86 , 

[0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 

[0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 

[0x358] [0x00008067] | ret | x0 = 860 , 

[0x38] [0x00050793] | mv a5,a0 | x15 = 86 , 

[0x3C] [0x00078713] | mv a4,a5 | x14 = 86 , 

[0x40] [0xFEC42783] | lw a5,-20(s0) | x15 = 1623 , 

[0x44] [0x00E787B3] | add a5,a5,a4 | x15 = 1709 , 

[0x48] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 

[0x4C] [0xFE442783] | lw a5,-28(s0) | x15 = 22 , 

[0x50] [0x00178793] | add a5,a5,1 | x15 = 23 , 

[0x54] [0xFEF42223] | sw a5,-28(s0) | x0 = 0 , 

[0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 23 , 

[0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 

[0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 

[0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 23 , 

[0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 

[0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 

[0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 

[0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 

[0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 

[0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x144] [0x00100793] | li a5,1 | x15 = 1 , 

[0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 1 , 

[0x154] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x158] [0x00200793] | li a5,2 | x15 = 2 , 

[0x15C] [0x00F71663] | bne a4,a5,168 <function+0x38> | x0 = 1 , 

[0x168] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x16C] [0x00300793] | li a5,3 | x15 = 3 , 

[0x170] [0x00F71663] | bne a4,a5,17c <function+0x4c> | x0 = 1 , 

[0x17C] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x180] [0x00400793] | li a5,4 | x15 = 4 , 

[0x184] [0x00F71663] | bne a4,a5,190 <function+0x60> | x0 = 1 , 

[0x190] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x194] [0x00500793] | li a5,5 | x15 = 5 , 

[0x198] [0x00F71663] | bne a4,a5,1a4 <function+0x74> | x0 = 1 , 

[0x1A4] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x1A8] [0x00600793] | li a5,6 | x15 = 6 , 

[0x1AC] [0x00F71663] | bne a4,a5,1b8 <function+0x88> | x0 = 1 , 

[0x1B8] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x1BC] [0x00700793] | li a5,7 | x15 = 7 , 

[0x1C0] [0x00F71663] | bne a4,a5,1cc <function+0x9c> | x0 = 1 , 

[0x1CC] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x1D0] [0x00800793] | li a5,8 | x15 = 8 , 

[0x1D4] [0x00F71663] | bne a4,a5,1e0 <function+0xb0> | x0 = 1 , 

[0x1E0] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x1E4] [0x00900793] | li a5,9 | x15 = 9 , 

[0x1E8] [0x00F71663] | bne a4,a5,1f4 <function+0xc4> | x0 = 1 , 

[0x1F4] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x1F8] [0x00A00793] | li a5,10 | x15 = 10 , 

[0x1FC] [0x00F71663] | bne a4,a5,208 <function+0xd8> | x0 = 1 , 

[0x208] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x20C] [0x00B00793] | li a5,11 | x15 = 11 , 

[0x210] [0x00F71663] | bne a4,a5,21c <function+0xec> | x0 = 1 , 

[0x21C] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x220] [0x00C00793] | li a5,12 | x15 = 12 , 

[0x224] [0x00F71663] | bne a4,a5,230 <function+0x100> | x0 = 1 , 

[0x230] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x234] [0x00D00793] | li a5,13 | x15 = 13 , 

[0x238] [0x00F71663] | bne a4,a5,244 <function+0x114> | x0 = 1 , 

[0x244] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x248] [0x00E00793] | li a5,14 | x15 = 14 , 

[0x24C] [0x00F71663] | bne a4,a5,258 <function+0x128> | x0 = 1 , 

[0x258] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x25C] [0x00F00793] | li a5,15 | x15 = 15 , 

[0x260] [0x00F71663] | bne a4,a5,26c <function+0x13c> | x0 = 1 , 

[0x26C] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x270] [0x01000793] | li a5,16 | x15 = 16 , 

[0x274] [0x00F71663] | bne a4,a5,280 <function+0x150> | x0 = 1 , 

[0x280] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x284] [0x01100793] | li a5,17 | x15 = 17 , 

[0x288] [0x00F71663] | bne a4,a5,294 <function+0x164> | x0 = 1 , 

[0x294] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x298] [0x01200793] | li a5,18 | x15 = 18 , 

[0x29C] [0x00F71663] | bne a4,a5,2a8 <function+0x178> | x0 = 1 , 

[0x2A8] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x2AC] [0x01300793] | li a5,19 | x15 = 19 , 

[0x2B0] [0x00F71663] | bne a4,a5,2bc <function+0x18c> | x0 = 1 , 

[0x2BC] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x2C0] [0x01400793] | li a5,20 | x15 = 20 , 

[0x2C4] [0x00F71663] | bne a4,a5,2d0 <function+0x1a0> | x0 = 1 , 

[0x2D0] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x2D4] [0x01500793] | li a5,21 | x15 = 21 , 

[0x2D8] [0x00F71663] | bne a4,a5,2e4 <function+0x1b4> | x0 = 1 , 

[0x2E4] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x2E8] [0x01600793] | li a5,22 | x15 = 22 , 

[0x2EC] [0x00F71663] | bne a4,a5,2f8 <function+0x1c8> | x0 = 1 , 

[0x2F8] [0xFEC42703] | lw a4,-20(s0) | x14 = 23 , 

[0x2FC] [0x01700793] | li a5,23 | x15 = 23 , 

[0x300] [0x00F71663] | bne a4,a5,30c <function+0x1dc> | x0 = 0 , 

[0x304] [0x05700793] | li a5,87 | x15 = 87 , 

[0x308] [0x0440006F] | j 34c <function+0x21c> | x0 = 780 , 

[0x34C] [0x00078513] | mv a0,a5 | x10 = 87 , 

[0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 

[0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 

[0x358] [0x00008067] | ret | x0 = 860 , 

[0x38] [0x00050793] | mv a5,a0 | x15 = 87 , 

[0x3C] [0x00078713] | mv a4,a5 | x14 = 87 , 

[0x40] [0xFEC42783] | lw a5,-20(s0) | x15 = 1709 , 

[0x44] [0x00E787B3] | add a5,a5,a4 | x15 = 1796 , 

[0x48] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 

[0x4C] [0xFE442783] | lw a5,-28(s0) | x15 = 23 , 

[0x50] [0x00178793] | add a5,a5,1 | x15 = 24 , 

[0x54] [0xFEF42223] | sw a5,-28(s0) | x0 = 0 , 

[0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 24 , 

[0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 

[0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 

[0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 24 , 

[0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 

[0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 

[0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 

[0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 

[0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 

[0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x144] [0x00100793] | li a5,1 | x15 = 1 , 

[0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 1 , 

[0x154] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x158] [0x00200793] | li a5,2 | x15 = 2 , 

[0x15C] [0x00F71663] | bne a4,a5,168 <function+0x38> | x0 = 1 , 

[0x168] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x16C] [0x00300793] | li a5,3 | x15 = 3 , 

[0x170] [0x00F71663] | bne a4,a5,17c <function+0x4c> | x0 = 1 , 

[0x17C] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x180] [0x00400793] | li a5,4 | x15 = 4 , 

[0x184] [0x00F71663] | bne a4,a5,190 <function+0x60> | x0 = 1 , 

[0x190] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x194] [0x00500793] | li a5,5 | x15 = 5 , 

[0x198] [0x00F71663] | bne a4,a5,1a4 <function+0x74> | x0 = 1 , 

[0x1A4] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x1A8] [0x00600793] | li a5,6 | x15 = 6 , 

[0x1AC] [0x00F71663] | bne a4,a5,1b8 <function+0x88> | x0 = 1 , 

[0x1B8] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x1BC] [0x00700793] | li a5,7 | x15 = 7 , 

[0x1C0] [0x00F71663] | bne a4,a5,1cc <function+0x9c> | x0 = 1 , 

[0x1CC] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x1D0] [0x00800793] | li a5,8 | x15 = 8 , 

[0x1D4] [0x00F71663] | bne a4,a5,1e0 <function+0xb0> | x0 = 1 , 

[0x1E0] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x1E4] [0x00900793] | li a5,9 | x15 = 9 , 

[0x1E8] [0x00F71663] | bne a4,a5,1f4 <function+0xc4> | x0 = 1 , 

[0x1F4] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x1F8] [0x00A00793] | li a5,10 | x15 = 10 , 

[0x1FC] [0x00F71663] | bne a4,a5,208 <function+0xd8> | x0 = 1 , 

[0x208] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x20C] [0x00B00793] | li a5,11 | x15 = 11 , 

[0x210] [0x00F71663] | bne a4,a5,21c <function+0xec> | x0 = 1 , 

[0x21C] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x220] [0x00C00793] | li a5,12 | x15 = 12 , 

[0x224] [0x00F71663] | bne a4,a5,230 <function+0x100> | x0 = 1 , 

[0x230] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x234] [0x00D00793] | li a5,13 | x15 = 13 , 

[0x238] [0x00F71663] | bne a4,a5,244 <function+0x114> | x0 = 1 , 

[0x244] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x248] [0x00E00793] | li a5,14 | x15 = 14 , 

[0x24C] [0x00F71663] | bne a4,a5,258 <function+0x128> | x0 = 1 , 

[0x258] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x25C] [0x00F00793] | li a5,15 | x15 = 15 , 

[0x260] [0x00F71663] | bne a4,a5,26c <function+0x13c> | x0 = 1 , 

[0x26C] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x270] [0x01000793] | li a5,16 | x15 = 16 , 

[0x274] [0x00F71663] | bne a4,a5,280 <function+0x150> | x0 = 1 , 

[0x280] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x284] [0x01100793] | li a5,17 | x15 = 17 , 

[0x288] [0x00F71663] | bne a4,a5,294 <function+0x164> | x0 = 1 , 

[0x294] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x298] [0x01200793] | li a5,18 | x15 = 18 , 

[0x29C] [0x00F71663] | bne a4,a5,2a8 <function+0x178> | x0 = 1 , 

[0x2A8] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x2AC] [0x01300793] | li a5,19 | x15 = 19 , 

[0x2B0] [0x00F71663] | bne a4,a5,2bc <function+0x18c> | x0 = 1 , 

[0x2BC] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x2C0] [0x01400793] | li a5,20 | x15 = 20 , 

[0x2C4] [0x00F71663] | bne a4,a5,2d0 <function+0x1a0> | x0 = 1 , 

[0x2D0] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x2D4] [0x01500793] | li a5,21 | x15 = 21 , 

[0x2D8] [0x00F71663] | bne a4,a5,2e4 <function+0x1b4> | x0 = 1 , 

[0x2E4] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x2E8] [0x01600793] | li a5,22 | x15 = 22 , 

[0x2EC] [0x00F71663] | bne a4,a5,2f8 <function+0x1c8> | x0 = 1 , 

[0x2F8] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x2FC] [0x01700793] | li a5,23 | x15 = 23 , 

[0x300] [0x00F71663] | bne a4,a5,30c <function+0x1dc> | x0 = 1 , 

[0x30C] [0xFEC42703] | lw a4,-20(s0) | x14 = 24 , 

[0x310] [0x01800793] | li a5,24 | x15 = 24 , 

[0x314] [0x00F71663] | bne a4,a5,320 <function+0x1f0> | x0 = 0 , 

[0x318] [0x05800793] | li a5,88 | x15 = 88 , 

[0x31C] [0x0300006F] | j 34c <function+0x21c> | x0 = 800 , 

[0x34C] [0x00078513] | mv a0,a5 | x10 = 88 , 

[0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 

[0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 

[0x358] [0x00008067] | ret | x0 = 860 , 

[0x38] [0x00050793] | mv a5,a0 | x15 = 88 , 

[0x3C] [0x00078713] | mv a4,a5 | x14 = 88 , 

[0x40] [0xFEC42783] | lw a5,-20(s0) | x15 = 1796 , 

[0x44] [0x00E787B3] | add a5,a5,a4 | x15 = 1884 , 

[0x48] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 

[0x4C] [0xFE442783] | lw a5,-28(s0) | x15 = 24 , 

[0x50] [0x00178793] | add a5,a5,1 | x15 = 25 , 

[0x54] [0xFEF42223] | sw a5,-28(s0) | x0 = 0 , 

[0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 25 , 

[0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 

[0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 

[0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 25 , 

[0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 

[0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 

[0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 

[0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 

[0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 

[0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x144] [0x00100793] | li a5,1 | x15 = 1 , 

[0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 1 , 

[0x154] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x158] [0x00200793] | li a5,2 | x15 = 2 , 

[0x15C] [0x00F71663] | bne a4,a5,168 <function+0x38> | x0 = 1 , 

[0x168] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x16C] [0x00300793] | li a5,3 | x15 = 3 , 

[0x170] [0x00F71663] | bne a4,a5,17c <function+0x4c> | x0 = 1 , 

[0x17C] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x180] [0x00400793] | li a5,4 | x15 = 4 , 

[0x184] [0x00F71663] | bne a4,a5,190 <function+0x60> | x0 = 1 , 

[0x190] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x194] [0x00500793] | li a5,5 | x15 = 5 , 

[0x198] [0x00F71663] | bne a4,a5,1a4 <function+0x74> | x0 = 1 , 

[0x1A4] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x1A8] [0x00600793] | li a5,6 | x15 = 6 , 

[0x1AC] [0x00F71663] | bne a4,a5,1b8 <function+0x88> | x0 = 1 , 

[0x1B8] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x1BC] [0x00700793] | li a5,7 | x15 = 7 , 

[0x1C0] [0x00F71663] | bne a4,a5,1cc <function+0x9c> | x0 = 1 , 

[0x1CC] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x1D0] [0x00800793] | li a5,8 | x15 = 8 , 

[0x1D4] [0x00F71663] | bne a4,a5,1e0 <function+0xb0> | x0 = 1 , 

[0x1E0] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x1E4] [0x00900793] | li a5,9 | x15 = 9 , 

[0x1E8] [0x00F71663] | bne a4,a5,1f4 <function+0xc4> | x0 = 1 , 

[0x1F4] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x1F8] [0x00A00793] | li a5,10 | x15 = 10 , 

[0x1FC] [0x00F71663] | bne a4,a5,208 <function+0xd8> | x0 = 1 , 

[0x208] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x20C] [0x00B00793] | li a5,11 | x15 = 11 , 

[0x210] [0x00F71663] | bne a4,a5,21c <function+0xec> | x0 = 1 , 

[0x21C] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x220] [0x00C00793] | li a5,12 | x15 = 12 , 

[0x224] [0x00F71663] | bne a4,a5,230 <function+0x100> | x0 = 1 , 

[0x230] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x234] [0x00D00793] | li a5,13 | x15 = 13 , 

[0x238] [0x00F71663] | bne a4,a5,244 <function+0x114> | x0 = 1 , 

[0x244] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x248] [0x00E00793] | li a5,14 | x15 = 14 , 

[0x24C] [0x00F71663] | bne a4,a5,258 <function+0x128> | x0 = 1 , 

[0x258] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x25C] [0x00F00793] | li a5,15 | x15 = 15 , 

[0x260] [0x00F71663] | bne a4,a5,26c <function+0x13c> | x0 = 1 , 

[0x26C] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x270] [0x01000793] | li a5,16 | x15 = 16 , 

[0x274] [0x00F71663] | bne a4,a5,280 <function+0x150> | x0 = 1 , 

[0x280] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x284] [0x01100793] | li a5,17 | x15 = 17 , 

[0x288] [0x00F71663] | bne a4,a5,294 <function+0x164> | x0 = 1 , 

[0x294] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x298] [0x01200793] | li a5,18 | x15 = 18 , 

[0x29C] [0x00F71663] | bne a4,a5,2a8 <function+0x178> | x0 = 1 , 

[0x2A8] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x2AC] [0x01300793] | li a5,19 | x15 = 19 , 

[0x2B0] [0x00F71663] | bne a4,a5,2bc <function+0x18c> | x0 = 1 , 

[0x2BC] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x2C0] [0x01400793] | li a5,20 | x15 = 20 , 

[0x2C4] [0x00F71663] | bne a4,a5,2d0 <function+0x1a0> | x0 = 1 , 

[0x2D0] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x2D4] [0x01500793] | li a5,21 | x15 = 21 , 

[0x2D8] [0x00F71663] | bne a4,a5,2e4 <function+0x1b4> | x0 = 1 , 

[0x2E4] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x2E8] [0x01600793] | li a5,22 | x15 = 22 , 

[0x2EC] [0x00F71663] | bne a4,a5,2f8 <function+0x1c8> | x0 = 1 , 

[0x2F8] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x2FC] [0x01700793] | li a5,23 | x15 = 23 , 

[0x300] [0x00F71663] | bne a4,a5,30c <function+0x1dc> | x0 = 1 , 

[0x30C] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x310] [0x01800793] | li a5,24 | x15 = 24 , 

[0x314] [0x00F71663] | bne a4,a5,320 <function+0x1f0> | x0 = 1 , 

[0x320] [0xFEC42703] | lw a4,-20(s0) | x14 = 25 , 

[0x324] [0x01900793] | li a5,25 | x15 = 25 , 

[0x328] [0x00F71663] | bne a4,a5,334 <function+0x204> | x0 = 0 , 

[0x32C] [0x05900793] | li a5,89 | x15 = 89 , 

[0x330] [0x01C0006F] | j 34c <function+0x21c> | x0 = 820 , 

[0x34C] [0x00078513] | mv a0,a5 | x10 = 89 , 

[0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 

[0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 

[0x358] [0x00008067] | ret | x0 = 860 , 

[0x38] [0x00050793] | mv a5,a0 | x15 = 89 , 

[0x3C] [0x00078713] | mv a4,a5 | x14 = 89 , 

[0x40] [0xFEC42783] | lw a5,-20(s0) | x15 = 1884 , 

[0x44] [0x00E787B3] | add a5,a5,a4 | x15 = 1973 , 

[0x48] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 

[0x4C] [0xFE442783] | lw a5,-28(s0) | x15 = 25 , 

[0x50] [0x00178793] | add a5,a5,1 | x15 = 26 , 

[0x54] [0xFEF42223] | sw a5,-28(s0) | x0 = 0 , 

[0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 26 , 

[0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 

[0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 

[0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 26 , 

[0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 

[0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 

[0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 

[0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 

[0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 

[0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x144] [0x00100793] | li a5,1 | x15 = 1 , 

[0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 1 , 

[0x154] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x158] [0x00200793] | li a5,2 | x15 = 2 , 

[0x15C] [0x00F71663] | bne a4,a5,168 <function+0x38> | x0 = 1 , 

[0x168] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x16C] [0x00300793] | li a5,3 | x15 = 3 , 

[0x170] [0x00F71663] | bne a4,a5,17c <function+0x4c> | x0 = 1 , 

[0x17C] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x180] [0x00400793] | li a5,4 | x15 = 4 , 

[0x184] [0x00F71663] | bne a4,a5,190 <function+0x60> | x0 = 1 , 

[0x190] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x194] [0x00500793] | li a5,5 | x15 = 5 , 

[0x198] [0x00F71663] | bne a4,a5,1a4 <function+0x74> | x0 = 1 , 

[0x1A4] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x1A8] [0x00600793] | li a5,6 | x15 = 6 , 

[0x1AC] [0x00F71663] | bne a4,a5,1b8 <function+0x88> | x0 = 1 , 

[0x1B8] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x1BC] [0x00700793] | li a5,7 | x15 = 7 , 

[0x1C0] [0x00F71663] | bne a4,a5,1cc <function+0x9c> | x0 = 1 , 

[0x1CC] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x1D0] [0x00800793] | li a5,8 | x15 = 8 , 

[0x1D4] [0x00F71663] | bne a4,a5,1e0 <function+0xb0> | x0 = 1 , 

[0x1E0] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x1E4] [0x00900793] | li a5,9 | x15 = 9 , 

[0x1E8] [0x00F71663] | bne a4,a5,1f4 <function+0xc4> | x0 = 1 , 

[0x1F4] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x1F8] [0x00A00793] | li a5,10 | x15 = 10 , 

[0x1FC] [0x00F71663] | bne a4,a5,208 <function+0xd8> | x0 = 1 , 

[0x208] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x20C] [0x00B00793] | li a5,11 | x15 = 11 , 

[0x210] [0x00F71663] | bne a4,a5,21c <function+0xec> | x0 = 1 , 

[0x21C] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x220] [0x00C00793] | li a5,12 | x15 = 12 , 

[0x224] [0x00F71663] | bne a4,a5,230 <function+0x100> | x0 = 1 , 

[0x230] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x234] [0x00D00793] | li a5,13 | x15 = 13 , 

[0x238] [0x00F71663] | bne a4,a5,244 <function+0x114> | x0 = 1 , 

[0x244] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x248] [0x00E00793] | li a5,14 | x15 = 14 , 

[0x24C] [0x00F71663] | bne a4,a5,258 <function+0x128> | x0 = 1 , 

[0x258] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x25C] [0x00F00793] | li a5,15 | x15 = 15 , 

[0x260] [0x00F71663] | bne a4,a5,26c <function+0x13c> | x0 = 1 , 

[0x26C] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x270] [0x01000793] | li a5,16 | x15 = 16 , 

[0x274] [0x00F71663] | bne a4,a5,280 <function+0x150> | x0 = 1 , 

[0x280] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x284] [0x01100793] | li a5,17 | x15 = 17 , 

[0x288] [0x00F71663] | bne a4,a5,294 <function+0x164> | x0 = 1 , 

[0x294] [0xFEC42703] | lw a4,-20(s0) | x14 = 26 , 

[0x298] [0x01200793] | li a5,18 | x15 = 18 , 

[0x29C] [0x00F71663] | bne a4,a5,2a8 <function+0x178> | x0 = 1 , 

